speech	sfx
ChamberOfBoneLore	Warrior1
HorazonsSanctumLore	Warrior2
GolemSpellLore	Warrior3
HorazonsCreatureOfFlameLore	Warrior4
MortaVespaGaieaInnuminoEvegeenJatanLuaGraton	Warrior5
GrimspikeLieutenantOfBelialLore	Warrior6
HorazonsJournal	Warrior7
YourDeathWillBeAvenged	Warrior8
RestInPeaceMyFriend	Warrior9
ValorLore	Warrior10
HallsOfTheBlindLore	Warrior11
WarlordOfBloodLore	Warrior12
ICantUseThisYet	Warrior13
ICantCarryAnymore	Warrior14
IHaveNoRoom	Warrior15
WhereWouldIPutThis	Warrior16
NoWay	Warrior17
NotAChance	Warrior18
IdNeverUseThis	Warrior19
IdHaveToEquipThat	Warrior20
ICantMoveThis	Warrior21
ICantMoveThisYet	Warrior22
ICantOpenThis	Warrior23
ICantOpenThisYet	Warrior24
ICantLiftThis	Warrior25
ICantLiftThisYet	Warrior26
ICantCastThatHere	Warrior27
ICantCastThatYet	Warrior28
ThatDidntDoAnything	Warrior29
ICanAlreadyDoThat	Warrior30
IDontNeedThat	Warrior31
IDontNeedToDoThat	Warrior32
IDontWantThat	Warrior33
IDontHaveASpellReady	Warrior34
NotEnoughMana	Warrior35
ThatWouldKillMe	Warrior36
ICantDoThat	Warrior37
No	Warrior38
Yes	Warrior39
ThatWontWork	Warrior40
ThatWontWorkHere	Warrior41
ThatWontWorkYet	Warrior42
ICantGetThereFromHere	Warrior43
ItsTooHeavy	Warrior44
ItsTooBig	Warrior45
JustWhatIWasLookingFor	Warrior46
IveGotABadFeelingAboutThis	Warrior47
GotMilk	Warrior48
ImNotThirsty	Warrior49
ImNoMilkmaid	Warrior50
ICouldBlowUpTheWholeVillage	Warrior51
YepThatsACowAlright	Warrior52
TooUghHeavy	Warrior53
InSpirituSanctum	Warrior54
PraedictumOtium	Warrior55
EfficioObitusUtInimicus	Warrior56
TheEnchantmentIsGone	Warrior57
OhTooEasy	Warrior58
BackToTheGrave	Warrior59
TimeToDie	Warrior60
ImNotImpressed	Warrior61
ImSorryDidIBreakYourConcentration	Warrior62
VengeanceIsMine	Warrior63
Die	Warrior64
Yeah	Warrior65
Ah	Warrior66
Phew	Warrior67
Argh	Warrior68
ArghClang	Warrior69
Aaaaargh	Warrior70
OofAh	Warrior71
HeavyBreathing	Warrior72
Oh	Warrior73
Wow	Warrior74
ThankTheLight	Warrior75
WhatWasThat	Warrior76
MmHmm	Warrior77
Hmm	Warrior78
UhHuh	Warrior79
TheSpiritsOfTheDeadAreNowAvenged	Warrior80
TheTownIsSafeFromTheseFoulSpawn	Warrior81
RestWellLeoricIllFindYourSon	Warrior82
YourMadnessEndsHereBetrayer	Warrior83
YoullLureNoMoreMenToTheirDeaths	Warrior84
ReturnToHeavenWarriorOfLight	Warrior85
ICanSeeWhyTheyFearThisWeapon	Warrior86
ThisMustBeWhatGriswoldWanted	Warrior87
INeedToGetThisToLachdanan	Warrior88
INeedToGetThisToGriswold	Warrior89
IveNeverBeenHereBefore	Warrior90
MayTheSpiritOfArkaineProtectMe	Warrior91
ThisIsAPlaceOfGreatPower	Warrior92
ThisBladeMustBeDestroyed	Warrior93
YourReignOfPainHasEnded	Warrior94
NowThatsOneBigMushroom	Warrior95
TheSmellOfDeathSurroundsMe	Warrior96b
TheSanctityOfThisPlaceHasBeenFouled	Warrior97
ItsHotDownHere	Warrior98
IMustBeGettingClose	Warrior99
MaybeItsLockedFromTheInside	Warrior100
LooksLikeItsRustedShut	Warrior101
MaybeTheresAnotherWay	Warrior102
AuughUh	Warrior71
