speech	sfx
ChamberOfBoneLore	Rogue1
HorazonsSanctumLore	Rogue2
GolemSpellLore	Rogue3
HorazonsCreatureOfFlameLore	Rogue4
MortaVespaGaieaInnuminoEvegeenJatanLuaGraton	Rogue5
GrimspikeLieutenantOfBelialLore	Rogue6
HorazonsJournal	Rogue7
YourDeathWillBeAvenged	Rogue8
RestInPeaceMyFriend	Rogue9
ValorLore	Rogue10
HallsOfTheBlindLore	Rogue11
WarlordOfBloodLore	Rogue12
ICantUseThisYet	Rogue13
ICantCarryAnymore	Rogue14
IHaveNoRoom	Rogue15
WhereWouldIPutThis	Rogue16
NoWay	Rogue17
NotAChance	Rogue18
IdNeverUseThis	Rogue19
IdHaveToEquipThat	Rogue20
ICantMoveThis	Rogue21
ICantMoveThisYet	Rogue22
ICantOpenThis	Rogue23
ICantOpenThisYet	Rogue24
ICantLiftThis	Rogue25
ICantLiftThisYet	Rogue26
ICantCastThatHere	Rogue27
ICantCastThatYet	Rogue28
ThatDidntDoAnything	Rogue29
ICanAlreadyDoThat	Rogue30
IDontNeedThat	Rogue31
IDontNeedToDoThat	Rogue32
IDontWantThat	Rogue33
IDontHaveASpellReady	Rogue34
NotEnoughMana	Rogue35
ThatWouldKillMe	Rogue36
ICantDoThat	Rogue37
No	Rogue38
Yes	Rogue39
ThatWontWork	Rogue40
ThatWontWorkHere	Rogue41
ThatWontWorkYet	Rogue42
ICantGetThereFromHere	Rogue43
ItsTooHeavy	Rogue44
ItsTooBig	Rogue45
JustWhatIWasLookingFor	Rogue46
IveGotABadFeelingAboutThis	Rogue47
GotMilk	Rogue48
ImNotThirsty	Rogue49
ImNoMilkmaid	Rogue50
ICouldBlowUpTheWholeVillage	Rogue51
YepThatsACowAlright	Rogue52
TooUghHeavy	Rogue53
InSpirituSanctum	Rogue54
PraedictumOtium	Rogue55
EfficioObitusUtInimicus	Rogue56
TheEnchantmentIsGone	Rogue57
OhTooEasy	Rogue58
BackToTheGrave	Rogue59
TimeToDie	Rogue60
ImNotImpressed	Rogue61
ImSorryDidIBreakYourConcentration	Rogue62
VengeanceIsMine	Rogue63
Die	Rogue64
Yeah	Rogue65
Ah	Rogue66
Phew	Rogue67
Argh	Rogue68
ArghClang	Rogue69
Aaaaargh	Rogue70
OofAh	Rogue71
HeavyBreathing	Rogue72
Oh	Rogue73
Wow	Rogue74
ThankTheLight	Rogue75
WhatWasThat	Rogue76
MmHmm	Rogue77
Hmm	Rogue78
UhHuh	Rogue79
TheSpiritsOfTheDeadAreNowAvenged	Rogue80
TheTownIsSafeFromTheseFoulSpawn	Rogue81
RestWellLeoricIllFindYourSon	Rogue82
YourMadnessEndsHereBetrayer	Rogue83
YoullLureNoMoreMenToTheirDeaths	Rogue84
ReturnToHeavenWarriorOfLight	Rogue85
ICanSeeWhyTheyFearThisWeapon	Rogue86
ThisMustBeWhatGriswoldWanted	Rogue87
INeedToGetThisToLachdanan	Rogue88
INeedToGetThisToGriswold	Rogue89
IveNeverBeenHereBefore	Rogue90
MayTheSpiritOfArkaineProtectMe	Rogue91
ThisIsAPlaceOfGreatPower	Rogue92
ThisBladeMustBeDestroyed	Rogue93
YourReignOfPainHasEnded	Rogue94
NowThatsOneBigMushroom	Rogue95
TheSmellOfDeathSurroundsMe	Rogue96
TheSanctityOfThisPlaceHasBeenFouled	Rogue97
ItsHotDownHere	Rogue98
IMustBeGettingClose	Rogue99
MaybeItsLockedFromTheInside	Rogue100
LooksLikeItsRustedShut	Rogue101
MaybeTheresAnotherWay	Rogue102
AuughUh	Rogue71
