speech	sfx
ChamberOfBoneLore	Monk1
HorazonsSanctumLore	None
GolemSpellLore	None
HorazonsCreatureOfFlameLore	None
MortaVespaGaieaInnuminoEvegeenJatanLuaGraton	None
GrimspikeLieutenantOfBelialLore	None
HorazonsJournal	None
YourDeathWillBeAvenged	Monk8
RestInPeaceMyFriend	Monk9
ValorLore	Monk10
HallsOfTheBlindLore	Monk11
WarlordOfBloodLore	Monk12
ICantUseThisYet	Monk13
ICantCarryAnymore	Monk14
IHaveNoRoom	Monk15
WhereWouldIPutThis	Monk16
NoWay	None
NotAChance	None
IdNeverUseThis	None
IdHaveToEquipThat	None
ICantMoveThis	None
ICantMoveThisYet	None
ICantOpenThis	None
ICantOpenThisYet	Monk24
ICantLiftThis	None
ICantLiftThisYet	None
ICantCastThatHere	Monk27
ICantCastThatYet	None
ThatDidntDoAnything	Monk29
ICanAlreadyDoThat	None
IDontNeedThat	None
IDontNeedToDoThat	None
IDontWantThat	None
IDontHaveASpellReady	Monk34
NotEnoughMana	Monk35
ThatWouldKillMe	None
ICantDoThat	None
No	None
Yes	None
ThatWontWork	None
ThatWontWorkHere	None
ThatWontWorkYet	None
ICantGetThereFromHere	Monk43
ItsTooHeavy	None
ItsTooBig	None
JustWhatIWasLookingFor	Monk46
IveGotABadFeelingAboutThis	None
GotMilk	None
ImNotThirsty	Monk49
ImNoMilkmaid	Monk50
ICouldBlowUpTheWholeVillage	None
YepThatsACowAlright	Monk52
TooUghHeavy	None
InSpirituSanctum	Monk54
PraedictumOtium	Monk55
EfficioObitusUtInimicus	Monk56
TheEnchantmentIsGone	None
OhTooEasy	None
BackToTheGrave	None
TimeToDie	None
ImNotImpressed	Monk61
ImSorryDidIBreakYourConcentration	Monk62
VengeanceIsMine	None
Die	None
Yeah	None
Ah	None
Phew	None
Argh	Monk68
ArghClang	Monk69
Aaaaargh	Monk70
OofAh	Monk71
HeavyBreathing	None
Oh	None
Wow	None
ThankTheLight	None
WhatWasThat	None
MmHmm	None
Hmm	None
UhHuh	Monk79
TheSpiritsOfTheDeadAreNowAvenged	Monk80
TheTownIsSafeFromTheseFoulSpawn	None
RestWellLeoricIllFindYourSon	Monk82
YourMadnessEndsHereBetrayer	Monk83
YoullLureNoMoreMenToTheirDeaths	None
ReturnToHeavenWarriorOfLight	None
ICanSeeWhyTheyFearThisWeapon	None
ThisMustBeWhatGriswoldWanted	Monk87
INeedToGetThisToLachdanan	Monk88
INeedToGetThisToGriswold	Monk89
IveNeverBeenHereBefore	None
MayTheSpiritOfArkaineProtectMe	Monk91
ThisIsAPlaceOfGreatPower	Monk92
ThisBladeMustBeDestroyed	None
YourReignOfPainHasEnded	Monk94
NowThatsOneBigMushroom	Monk95
TheSmellOfDeathSurroundsMe	Monk96
TheSanctityOfThisPlaceHasBeenFouled	Monk97
ItsHotDownHere	Monk98
IMustBeGettingClose	Monk99
MaybeItsLockedFromTheInside	None
LooksLikeItsRustedShut	None
MaybeTheresAnotherWay	None
AuughUh	Monk71
