Variable	Value
unarmedFrames	18
unarmedActionFrame	10
unarmedShieldFrames	18
unarmedShieldActionFrame	10
swordFrames	18
swordActionFrame	10
swordShieldFrames	18
swordShieldActionFrame	10
bowFrames	12
bowActionFrame	7
axeFrames	22
axeActionFrame	13
maceFrames	18
maceActionFrame	10
maceShieldFrames	18
maceShieldActionFrame	10
staffFrames	16
staffActionFrame	11
idleFrames	8
walkingFrames	8
blockingFrames	4
deathFrames	20
castingFrames	16
recoveryFrames	7
townIdleFrames	20
townWalkingFrames	8
castingActionFrame	12
