Variable	Value
unarmedFrames	20
unarmedActionFrame	12
unarmedShieldFrames	16
unarmedShieldActionFrame	9
swordFrames	16
swordActionFrame	12
swordShieldFrames	16
swordShieldActionFrame	12
bowFrames	20
bowActionFrame	16
axeFrames	24
axeActionFrame	16
maceFrames	16
maceActionFrame	12
maceShieldFrames	16
maceShieldActionFrame	12
staffFrames	16
staffActionFrame	12
idleFrames	8
walkingFrames	8
blockingFrames	6
deathFrames	20
castingFrames	12
recoveryFrames	8
townIdleFrames	20
townWalkingFrames	8
castingActionFrame	8
